ID, r1 , mr1 , r2 , r3 , built_date ,built_year, Latitude , Longitude ,count_date,veh_vol,ped_vol
2, JARVIS ST ,, FRONT ST E ,, 11/15/1948 ,1948 ,43.649418,-79.371446,9-8-2011,19335,17008
3, KING ST E ,, JARVIS ST ,, 08/23/1950 ,1950 ,43.6504606,-79.3719239,9-7-2011,17665,37719
4, JARVIS ST ,, ADELAIDE ST E ,, 09/12/1958 ,1958 ,43.6515337,-79.37236,8-15-2012,19037,5679
5, JARVIS ST ,, RICHMOND ST E ,, 04/21/1962 ,1962 ,43.6527176,-79.372824,12-8-2015,19678,4369
6, JARVIS ST ,, QUEEN ST E ,, 08/24/1928 ,1928 ,43.653704,-79.373238,5-18-2011,19772,3622
7, JARVIS ST ,, SHUTER ST ,, 11/18/1948 ,1948 ,43.655357,-79.373862,5-24-2011,17492,1979
8, JARVIS ST ,, DUNDAS ST E ,, 06/21/1928 ,1928 ,43.657052,-79.374531,4-13-2015,18207,7458
9, JARVIS ST ,, GERRARD ST E ,, 07/14/1941 ,1941 ,43.660432,-79.3758537,5-18-2011,19891,4284
10, JARVIS ST ,, CARLTON ST ,, 06/28/1928 ,1928 ,43.66242,-79.3767079,5-24-2011,21040,4189
11, JARVIS ST ,, WELLESLEY ST E ,, 09/28/1948 ,1948 ,43.6662894,-79.378325,5-24-2011,21072,5001
12, JARVIS ST ,, ISABELLA ST ,, 09/13/1960 ,1960 ,43.668869,-79.3794158,5-18-2011,15958,1679
13, MOUNT PLEASANT RD ,, CHARLES ST E , JARVIS ST , 05/23/1950 ,1950 ,43.6699892,-79.3799226,10-8-2013,15228,2269
14, BLOOR ST E ,, TED ROGERS WAY ,, 03/28/1951 ,1951 ,43.6715773,-79.38052,11-10-2015,17271,8538
15, CHURCH ST ,, FRONT ST E , WELLINGTON ST E , 04/24/1950 ,1950 ,43.648513176,-79.373833537,4-20-2015,10467,7381
16, KING ST E ,, CHURCH ST ,, 01/10/1928 ,1928 ,43.6499164,-79.374409,4-23-2009,13419,11277
